ECLIPSE_extended,ECLIPSE_aggregated,EDGE
End_Use_Industry_Bio_Trad,End_Use_Industry_Bio_Trad,feindsolid
End_Use_Industry_Coal,End_Use_Industry_Coal,feindsolid
End_Use_Industry_HLF,End_Use_Industry_HLF,feindliquid
End_Use_Industry_LLF,End_Use_Industry_LLF,feindliquid
End_Use_Industry_NatGas,End_Use_Industry_NatGas,feindgas
End_Use_Residential_Bio_Mod,End_Use_Residential_Bio_Mod,feresbiomod
End_Use_Residential_Bio_Trad_Cook,End_Use_Residential_Bio_Trad,feresbiotrad
End_Use_Residential_Bio_Trad_Heat,End_Use_Residential_Bio_Trad,feresbiotrad
End_Use_Residential_Coal_Cook,End_Use_Residential_Coal,ferescoal
End_Use_Residential_Coal_Heat,End_Use_Residential_Coal,ferescoal
End_Use_Residential_HLF,End_Use_Residential_HLF,feresliquid
End_Use_Residential_LLF,End_Use_Residential_LLF,feresliquid
End_Use_Residential_NatGas,End_Use_Residential_NatGas,feresgas
End_Use_Services_Bio_Mod,End_Use_Services_Bio_Mod,feserbio
End_Use_Services_Bio_Trad,End_Use_Services_Bio_Trad,feserbio
End_Use_Services_Coal,End_Use_Services_Coal,fesercoal
End_Use_Services_HLF,End_Use_Services_HLF,feserliquid
End_Use_Services_LLF,End_Use_Services_LLF,feserliquid
End_Use_Services_NatGas,End_Use_Services_NatGas,fesergas
End_Use_Others_Bio_Mod,End_Use_Others_Bio_Mod,feothsolid
End_Use_Others_Bio_Trad,End_Use_Others_Bio_Trad,feothsolid
End_Use_Others_Coal,End_Use_Others_Coal,feothsolid
End_Use_Others_HLF,End_Use_Others_HLF,feothliquid
End_Use_Others_LLF,End_Use_Others_LLF,feothliquid
End_Use_Others_NatGas,End_Use_Others_NatGas,feothgas
End_Use_Transport_Road_HDT_HLF,End_Use_Transport_HLF,NA
End_Use_Transport_Road_LDT_HLF,End_Use_Transport_LLF,NA
End_Use_Transport_Road_AGR_HLF,End_Use_Transport_LLF,NA
End_Use_Transport_Road_OFF_HLF,End_Use_Transport_LLF,NA
End_Use_Transport_HDT_LLF,End_Use_Transport_LLF,NA
End_Use_Transport_LDT_LLF,End_Use_Transport_LLF,NA
End_Use_Transport_MC_LLF,End_Use_Transport_LLF,NA
End_Use_Transport_OFF_LLF,End_Use_Transport_LLF,NA
End_Use_Transport_NatGas,End_Use_Transport_NatGas,NA
End_Use_Transport_Coal,End_Use_Transport_Coal,NA
